attempts,time_played,booster_used,level_completion_time,specific_action_usage,lives_from_ads,purchase_amount,purchase_date,device_type,os_version,friend_invites_sent,friend_invites_received,guild_chat_messages,facebook_connect_status,social_engagement_through_facebook,churn,hard_level,purchase_month,ps
20,800,14,921,fish usage,28,20.3,2024-01-28,android,19.3,7,0,8,1,low,0,1,1.0,0.3603249759868404
23,17048,29,50,striped candy swipe,35,46.55,2024-01-28,android,17.6,1,20,11,0,low,0,0,1.0,0.23260024480573063
120,7581,17,1576,fish usage,0,23.49,2024-01-28,iphone,13.2,0,8,5,1,low,0,0,1.0,0.19181502237837128
269,4828,0,50,extra time boost,0,0.71,2024-01-28,ipad,14.7,1,20,61,0,low,0,1,1.0,0.23408361314448595
94,1331,18,398,special candy swap,9,4.41,2024-01-28,ipad,15.9,10,0,12,1,low,0,0,1.0,0.19117679974244423
41,800,18,452,wrapped candy blast,48,19.01,2024-01-28,iphone,14.0,25,20,0,1,low,0,0,1.0,0.25549929636135854
253,800,95,852,fish usage,0,5.4,2024-01-28,iphone,17.1,2,18,0,0,low,0,1,1.0,0.3016666169178217
4,800,7,290,special candy swap,8,5.23,2024-01-28,iphone,17.7,3,0,1,0,low,1,1,1.0,0.2876924371469519
397,8926,28,50,wrapped candy blast,5,24.72,2024-01-26,ipad,14.6,0,5,0,1,low,0,0,1.0,0.20639475879313263
42,800,22,455,striped candy swipe,6,0.27,2024-01-26,iphone,12.8,51,5,0,1,low,1,0,1.0,0.22017567737958435
85,9357,0,498,wrapped candy swap,0,21.55,2024-01-26,ipad,17.8,0,10,6,0,low,0,0,1.0,0.17341927730087053
4,25912,0,478,fish usage,6,10.67,2024-01-24,iphone,14.9,4,0,0,1,low,0,0,1.0,0.23181681563107762
13,9744,7,239,extra time boost,0,41.8,2024-01-24,android,16.6,10,0,5,0,low,0,0,1.0,0.3050036402826814
88,800,15,2280,striped candy swipe,9,1.53,2024-01-24,ipad,14.5,0,63,6,0,low,1,0,1.0,0.184606172957996
4,800,0,50,special candy swap,0,25.4,2024-01-24,ipad,11.4,28,33,11,0,low,0,0,1.0,0.12066554900033863
41,16562,36,104,rewarded_boosters,2,22.32,2024-01-15,ipad,17.5,0,7,0,1,low,0,0,1.0,0.1319269479219079
74,26027,10,266,fish usage,9,21.39,2024-01-15,android,11.2,7,0,2,1,low,1,0,1.0,0.219985460623531
95,95000,0,335,wrapped candy blast,48,53.85,2024-01-15,android,12.0,12,8,3,1,low,1,0,1.0,0.2025442509453171
359,800,95,50,extra moves,14,6.05,2024-01-15,ipad,14.9,10,0,20,0,low,1,0,1.0,0.2218835948953681
4,800,57,50,striped candy swipe,2,8.37,2024-01-15,iphone,11.2,0,0,3,1,low,1,0,1.0,0.1885250403953328
69,25533,0,50,wrapped candy blast,4,22.39,2024-01-13,android,11.2,14,112,0,1,low,1,0,1.0,0.22061605634193163
382,12865,4,588,extra time boost,0,1.72,2024-01-12,android,11.2,6,3,11,1,low,0,0,1.0,0.22405861077961195
78,12293,0,50,color bomb usage,2,0.71,2024-01-12,iphone,11.9,40,13,3,1,low,0,0,1.0,0.28716152841122444
301,7159,0,56,color bomb creation,0,69.93,2024-01-12,iphone,13.7,0,26,8,0,low,0,0,1.0,0.1524364859463883
4,15623,29,1043,extra time boost,0,7.06,2024-01-12,ipad,14.5,55,22,28,1,low,0,1,1.0,0.18361030351048196
4,800,95,300,extra moves,10,4.44,2024-01-10,android,11.3,23,9,10,0,low,0,0,1.0,0.20172795273579622
373,17640,34,1172,extra time boost,47,14.01,2024-01-10,android,16.4,5,4,9,1,low,0,0,1.0,0.4041181340589427
4,800,32,137,extra time boost,16,1.28,2024-01-10,ipad,12.4,29,7,10,0,low,0,0,1.0,0.25648842084588813
49,19473,10,50,special candy swap,9,3.85,2024-01-09,ipad,14.8,12,33,26,1,low,0,0,1.0,0.2228177447930055
52,800,16,50,extra moves,13,30.21,2024-01-09,android,11.5,13,7,13,0,low,1,0,1.0,0.24019169383417446
12,1500,95,270,fish usage,23,9.01,2024-01-09,ipad,12.0,16,65,13,0,low,0,0,1.0,0.16892814438313214
96,20632,71,273,striped candy swipe,19,0.68,2024-01-09,iphone,11.2,17,16,152,1,high,1,0,1.0,0.18993949400917637
50,9097,77,188,wrapped candy swap,2,24.37,2024-01-07,iphone,15.2,10,96,0,0,low,0,0,1.0,0.2246653683796141
106,2291,32,1628,special candy swap,0,25.82,2024-01-06,ipad,11.2,9,31,0,1,low,1,0,1.0,0.17613959754637273
150,8393,95,814,extra moves,10,22.68,2024-01-06,iphone,19.3,24,1,0,1,low,0,0,1.0,0.31296623398171564
328,800,35,50,extra moves,1,70.24,2024-01-06,ipad,11.2,1,4,21,0,low,0,0,1.0,0.1685444826616242
67,800,17,2280,rewarded_boosters,0,9.32,2024-01-06,iphone,15.6,7,0,7,0,low,0,0,1.0,0.15873117983045623
252,8630,21,807,extra moves,0,9.0,2024-01-06,android,11.2,23,22,4,0,low,0,0,1.0,0.22338863781665755
115,1106,9,2009,rewarded_boosters,7,23.78,2024-01-06,ipad,13.1,0,112,8,0,low,1,0,1.0,0.22000252959786126
4,2415,14,378,fish usage,0,40.41,2024-01-04,iphone,15.8,3,14,0,1,low,0,0,1.0,0.21460252895071893
4,800,14,494,wrapped candy swap,14,6.48,2024-01-03,ipad,11.6,5,16,13,0,high,0,1,1.0,0.21450991003249437
4,800,93,50,special candy swap,4,8.4,2024-01-03,ipad,14.0,0,25,3,1,low,0,1,1.0,0.24620509968870408
53,800,28,1172,extra moves,49,22.95,2024-01-03,iphone,13.0,1,59,40,1,low,0,0,1.0,0.15039597239383157
80,800,15,50,fish usage,7,27.76,2024-01-03,iphone,15.8,20,14,6,0,low,0,1,1.0,0.21716974665189048
122,12786,0,50,special candy swap,0,8.49,2024-01-03,iphone,14.9,0,14,6,0,low,0,1,1.0,0.23228255490971103
71,800,95,50,striped candy swipe,0,1.74,2024-01-03,android,11.2,0,58,31,0,low,0,0,1.0,0.22405444218118473
95,17728,36,1194,extra moves,0,22.54,2024-01-03,iphone,11.2,1,9,31,1,low,0,0,1.0,0.1859399003942518
99,1415,36,1098,extra moves,0,10.22,2024-01-03,android,14.6,3,32,38,1,low,0,1,1.0,0.2586725084767726
107,6382,16,358,special candy swap,2,0.1,2024-01-02,ipad,11.2,4,28,12,0,low,0,0,1.0,0.18065896839933246
9,4246,33,1559,extra time boost,0,24.69,2024-01-02,ipad,16.3,3,62,0,0,moderate,0,0,1.0,0.16129330386867613
4,95000,1,50,color bomb usage,0,18.84,2024-01-01,android,11.2,22,8,2,1,low,0,0,1.0,0.22134872119273952
145,5121,8,95,rewarded_boosters,0,99.99,2024-01-01,android,12.7,1,7,14,0,low,1,0,1.0,0.20124351962510406
91,4251,15,963,striped candy swipe,0,20.59,2024-01-01,android,13.3,0,44,0,1,low,1,0,1.0,0.17419301862308967
282,2265,73,191,wrapped candy blast,0,7.71,2024-01-01,android,11.2,52,6,0,0,low,0,0,1.0,0.22281258177632554
113,14246,7,375,striped candy blast,0,5.23,2024-01-01,android,18.0,0,12,3,1,low,0,0,1.0,0.22112482090451385
4,800,3,75,fish usage,2,35.32,2024-01-01,ipad,11.2,11,4,34,1,moderate,0,1,1.0,0.17449294118765613
23,800,86,282,extra time boost,12,99.99,2024-01-01,ipad,12.6,21,17,26,0,high,1,0,1.0,0.10650444262796827
395,800,14,498,special candy swap,4,0.24,2024-01-01,iphone,12.2,49,24,12,0,low,1,1,1.0,0.305498669637208
23,7713,0,602,fish usage,4,6.75,2024-01-01,android,15.3,7,1,0,1,low,1,0,1.0,0.289597845540235
98,1835,14,305,striped candy swipe,13,0.12,2024-01-01,android,14.5,45,6,18,0,low,1,0,1.0,0.23019263117275107
272,7187,25,308,striped candy swipe,0,1.24,2023-12-29,iphone,13.7,15,32,24,1,low,0,0,12.0,0.22005054120997514
4,800,14,382,extra time boost,5,15.91,2023-12-29,android,15.0,18,20,57,0,low,0,0,12.0,0.23413608151722104
90,12278,66,50,color bomb creation,9,69.25,2023-12-29,iphone,13.7,19,8,13,1,low,0,0,12.0,0.206376487817165
4,800,43,396,fish usage,25,1.17,2023-12-29,iphone,13.6,4,12,21,0,low,0,1,12.0,0.3529272095140805
4,15128,36,285,color bomb usage,16,8.91,2023-12-29,ipad,12.8,7,18,11,1,low,0,1,12.0,0.2750226483952979
58,800,7,172,special candy swap,8,6.16,2023-12-29,android,14.6,13,0,2,0,low,1,0,12.0,0.33623523379665315
24,800,92,247,special candy swap,9,7.15,2023-12-26,iphone,12.1,14,40,13,0,low,0,1,12.0,0.2537033631169481
42,1923,32,2280,wrapped candy blast,10,36.3,2023-12-26,iphone,18.0,3,1,23,0,high,0,0,12.0,0.24269550736499793
4,800,11,374,fish usage,2,13.42,2023-12-26,ipad,11.2,17,9,0,1,low,1,0,12.0,0.2386740442041282
4,800,70,346,color bomb usage,7,0.31,2023-12-25,iphone,14.0,15,0,10,0,low,0,1,12.0,0.3364443860861685
42,800,31,139,fish usage,21,10.4,2023-12-25,android,11.2,3,23,0,1,low,0,0,12.0,0.29220889478713113
53,800,9,429,striped candy swipe,7,25.52,2023-12-25,ipad,19.3,0,9,10,1,low,0,0,12.0,0.3813130444951802
28,8279,12,927,color bomb usage,15,16.3,2023-12-25,ipad,15.1,51,11,61,1,low,0,1,12.0,0.36586630791954944
277,800,95,891,wrapped candy blast,0,24.37,2023-12-25,android,13.9,8,35,10,1,low,0,0,12.0,0.22113464932805718
4,58258,3,219,wrapped candy blast,0,75.15,2023-12-24,iphone,13.0,18,4,0,0,low,0,0,12.0,0.19369390102534711
332,94238,64,50,color bomb creation,0,20.87,2023-12-24,iphone,11.2,19,112,37,1,moderate,0,0,12.0,0.24848417153850058
29,11790,9,50,special candy swap,23,16.09,2023-12-23,iphone,13.0,5,3,24,0,low,1,0,12.0,0.20499235366803978
88,10336,21,1330,color bomb creation,3,9.84,2023-12-23,ipad,11.2,26,7,0,1,low,0,0,12.0,0.2394548049079182
4,14239,32,1803,wrapped candy blast,5,16.03,2023-12-23,ipad,19.3,15,0,0,1,low,1,1,12.0,0.38400069852999724
93,800,6,50,special candy swap,49,20.93,2023-12-23,iphone,11.2,0,81,12,0,low,0,1,12.0,0.24847073916882378
4,800,13,1021,color bomb creation,1,1.03,2023-12-23,iphone,11.2,3,0,0,0,low,0,0,12.0,0.25295240917315825
400,95000,36,50,fish usage,49,19.05,2023-12-23,ipad,12.1,12,12,5,0,low,1,0,12.0,0.2395031749795385
149,19335,13,298,striped candy swipe,0,96.62,2023-12-23,iphone,13.9,0,24,1,0,low,0,1,12.0,0.17364151502627692
178,60355,0,1410,striped candy swipe,4,11.17,2023-12-23,ipad,14.2,17,8,11,1,low,0,0,12.0,0.3177466410658807
81,800,75,163,color bomb creation,8,3.0,2023-12-23,ipad,11.3,4,18,67,1,low,0,0,12.0,0.21713519734293876
79,12566,95,510,striped candy swipe,2,5.97,2023-12-23,ipad,16.5,1,0,8,1,low,1,0,12.0,0.19020511632808362
14,66156,32,903,extra moves,0,67.34,2023-12-23,ipad,19.1,21,8,5,0,low,0,0,12.0,0.328146953054057
68,1566,0,339,special candy swap,0,22.0,2023-12-23,ipad,14.4,51,57,7,1,low,0,0,12.0,0.29433763580663796
4,800,8,790,extra moves,49,11.0,2023-12-22,iphone,11.2,50,4,5,1,low,0,0,12.0,0.25070040631671614
4,800,15,374,extra moves,1,12.88,2023-12-22,iphone,14.7,24,8,42,0,low,1,1,12.0,0.31649897017910816
15,27716,2,190,extra moves,0,14.81,2023-12-22,iphone,11.2,0,5,86,0,low,0,1,12.0,0.2498433430598936
4,7857,74,1596,striped candy swipe,0,99.99,2023-12-22,ipad,12.6,19,16,0,0,low,1,0,12.0,0.1469082061160096
58,30716,12,748,extra moves,0,12.5,2023-12-22,android,14.1,1,1,1,0,low,1,1,12.0,0.28470694069400454
4,800,2,103,fish usage,0,5.53,2023-12-22,ipad,15.9,7,2,41,1,low,0,1,12.0,0.2542961542755762
4,32233,0,50,extra time boost,1,2.12,2023-12-22,android,11.6,6,20,4,1,low,1,1,12.0,0.3433733728320116
400,800,26,646,striped candy swipe,3,99.99,2023-12-21,android,17.6,22,112,0,0,low,0,0,12.0,0.2568110157779486
400,95000,51,509,extra time boost,0,49.79,2023-12-21,ipad,11.2,4,112,0,0,low,0,0,12.0,0.23084149980852986
38,4072,23,145,striped candy swipe,34,24.01,2023-12-21,android,16.2,29,19,117,0,low,0,0,12.0,0.33382737089125597
47,800,14,526,fish blast,3,21.42,2023-12-20,iphone,16.7,7,2,0,0,low,0,0,12.0,0.4064561133543801
232,883,30,420,fish blast,2,99.99,2023-12-20,iphone,15.8,20,21,7,1,moderate,1,0,12.0,0.2687575154492023
54,7020,56,441,wrapped candy swap,30,7.97,2023-12-20,iphone,13.6,36,1,89,0,low,0,1,12.0,0.35106770699362905
122,800,11,911,striped candy swipe,12,99.99,2023-12-20,ipad,14.2,2,9,162,0,low,0,1,12.0,0.2951231358221602
35,800,52,142,wrapped candy swap,14,10.68,2023-12-20,ipad,18.0,24,4,42,0,low,1,1,12.0,0.23695911418456986
116,800,13,827,extra moves,49,18.51,2023-12-20,ipad,12.9,2,5,30,0,low,0,0,12.0,0.27244011920795236
4,800,5,250,fish usage,16,10.39,2023-12-20,iphone,13.7,5,3,12,0,low,1,0,12.0,0.21817361853247128
206,800,14,336,extra moves,31,5.95,2023-12-20,ipad,13.7,0,0,2,0,low,0,0,12.0,0.2086305707250121
67,800,14,889,fish usage,0,21.73,2023-12-20,android,14.0,46,8,0,1,low,1,0,12.0,0.3786272967898518
49,8429,32,50,color bomb usage,9,18.42,2023-12-20,ipad,18.4,0,0,7,1,low,0,1,12.0,0.30955695975918474
100,800,36,1396,striped candy swipe,6,6.5,2023-12-19,ipad,16.9,0,8,14,0,low,1,0,12.0,0.3468675403236311
331,800,15,1015,fish usage,22,16.7,2023-12-19,ipad,12.7,15,82,37,1,high,0,0,12.0,0.2337380164876231
95,2364,0,69,extra moves,0,15.33,2023-12-18,iphone,12.5,2,112,0,0,low,0,0,12.0,0.22534268779369754
240,11453,2,357,extra moves,0,90.57,2023-12-17,iphone,12.4,4,4,0,0,high,0,1,12.0,0.32272621366773496
222,800,10,584,extra moves,7,22.54,2023-12-17,ipad,11.2,41,20,17,0,low,0,0,12.0,0.23669297516390464
10,7735,26,454,extra moves,1,8.64,2023-12-17,ipad,12.5,7,5,4,1,low,0,1,12.0,0.21602901663860963
10,32021,82,507,fish usage,0,1.33,2023-12-17,iphone,14.0,26,7,15,1,high,0,0,12.0,0.336171440383597
87,800,0,271,striped candy swap,11,99.99,2023-12-17,iphone,18.3,15,0,0,1,low,1,1,12.0,0.36573080486752346
75,800,3,50,striped candy swipe,12,99.99,2023-12-17,ipad,11.2,4,37,6,1,low,1,0,12.0,0.2203291897681804
400,800,6,1845,special candy swap,13,1.13,2023-12-17,iphone,19.0,14,0,21,0,low,0,0,12.0,0.1471961799349098
4,800,38,50,striped candy swipe,0,19.76,2023-12-17,iphone,16.3,57,10,0,1,low,0,0,12.0,0.22923259952861444
70,800,32,972,striped candy swipe,8,7.99,2023-12-17,iphone,12.5,7,6,1,1,low,0,0,12.0,0.22688250669281682
261,1832,15,1671,wrapped candy blast,4,13.68,2023-12-17,android,15.0,6,2,11,1,low,0,0,12.0,0.2670429888351519
13,23531,10,1497,color bomb usage,0,13.86,2023-12-17,ipad,14.5,27,7,1,0,low,0,0,12.0,0.2437307956540856
256,36085,9,503,striped candy swipe,2,25.4,2023-12-17,ipad,12.1,6,18,162,1,low,1,1,12.0,0.23811931455647695
38,35036,0,961,striped candy blast,0,99.99,2023-12-17,android,11.2,1,7,14,0,moderate,0,0,12.0,0.2705000737261454
91,7276,0,2280,color bomb usage,0,13.05,2023-12-17,iphone,13.9,16,17,23,0,low,0,1,12.0,0.1884908599576295
105,800,11,260,striped candy blast,3,16.14,2023-12-17,iphone,17.9,19,1,2,0,high,1,0,12.0,0.35802397563390015
4,5372,13,255,fish usage,2,1.8,2023-12-16,ipad,14.2,7,20,34,0,low,0,0,12.0,0.32018683364143935
198,800,3,113,fish usage,12,20.58,2023-12-16,ipad,14.3,16,4,103,0,low,0,0,12.0,0.4250584802770166
186,3539,19,50,fish usage,0,28.89,2023-12-16,android,11.5,8,11,12,0,low,0,1,12.0,0.3138565069279249
39,800,95,50,color bomb usage,13,24.44,2023-12-16,iphone,11.2,76,30,4,0,low,0,0,12.0,0.24768579174123734
4,11707,95,529,extra moves,9,1.44,2023-12-16,iphone,12.5,27,9,11,0,low,1,0,12.0,0.22826286038448737
9,9608,81,1296,fish blast,8,19.16,2023-12-16,ipad,11.2,43,15,0,0,low,1,0,12.0,0.23742586169495927
4,2475,27,754,fish usage,0,0.63,2023-12-16,ipad,15.8,16,9,38,1,low,1,0,12.0,0.2800936664333429
27,12082,7,502,fish usage,4,9.25,2023-12-16,ipad,16.2,76,47,36,0,low,0,0,12.0,0.27893274371509447
194,800,61,498,extra moves,13,24.41,2023-12-16,ipad,11.5,6,19,13,0,high,1,0,12.0,0.2585895818052604
70,800,26,791,striped candy swipe,2,8.26,2023-12-16,ipad,13.0,13,2,67,0,low,1,1,12.0,0.19652235674237345
104,800,73,1005,striped candy blast,5,1.53,2023-12-16,iphone,12.0,1,0,31,0,low,0,0,12.0,0.2397230374526897
145,800,95,149,fish usage,49,5.09,2023-12-16,iphone,14.5,15,1,101,1,low,0,0,12.0,0.25737869283762876
4,800,10,2280,fish usage,2,99.99,2023-12-16,ipad,17.3,16,22,25,1,low,0,0,12.0,0.20850766124841988
72,800,6,146,fish blast,0,37.56,2023-12-16,iphone,17.7,7,19,84,0,low,0,1,12.0,0.3595122264206215
400,9398,95,283,striped candy swipe,8,1.23,2023-12-16,iphone,13.5,13,4,13,1,low,1,0,12.0,0.29123562524678165
